"SPCD","Drought.tolerance"
822,0
831,0
923,0
11,0
12,0
20,0
43,0
261,0
264,0
352,0
353,0
654,0
691,0
694,0
262,0
263,0.0425
374,0.0675
651,0.0675
583,0.1
521,0.125
531,0.125
653,0.125
260,0.125
98,0.13
373,0.1325
745,0.1425
742,0.1425
987,0.15
989,0.15
986,0.1625
853,0.175
690,0.175
976,0.175
580,0.175
91,0.1875
358,0.1875
746,0.1925
741,0.1925
747,0.1925
749,0.1925
921,0.1925
922,0.1925
935,0.1925
740,0.2
92,0.2075
316,0.21
15,0.2275
744,0.25
925,0.25
927,0.25
977,0.25
981,0.25
16,0.25
42,0.25
71,0.25
95,0.25
120,0.25
211,0.25
251,0.25
252,0.25
312,0.25
315,0.25
319,0.25
332,0.25
336,0.25
337,0.25
367,0.25
401,0.25
405,0.25
406,0.25
492,0.25
542,0.25
543,0.25
545,0.25
548,0.25
551,0.25
555,0.25
581,0.25
655,0.25
658,0.25
692,0.25
693,0.25
721,0.25
722,0.25
924,0.25
865,0.25
40,0.25
909,0.25
914,0.25
250,0.25
929,0.25
356,0.25
650,0.25
350,0.25
19,0.255
18,0.255
375,0.255
391,0.255
41,0.265
936,0.2775
571,0.3
582,0.3
753,0.3
355,0.305
242,0.3075
107,0.3125
318,0.3125
731,0.3125
937,0.3125
891,0.3125
362,0.3125
129,0.3225
854,0.325
378,0.325
413,0.325
17,0.3325
379,0.335
764,0.345
830,0.345
357,0.345
541,0.345
601,0.345
602,0.345
765,0.35
906,0.35
377,0.35
73,0.355
119,0.355
813,0.375
743,0.375
22,0.375
97,0.375
115,0.375
231,0.375
311,0.375
351,0.375
662,0.375
769,0.375
144,0.375
995,0.375
21,0.375
431,0.375
450,0.375
873,0.375
907,0.375
112,0.375
683,0.375
381,0.375
934,0.375
513,0.375
10,0.375
730,0.375
370,0.375
660,0.375
93,0.395
451,0.395
621,0.4
768,0.4
90,0.4
202,0.405
322,0.4075
424,0.4075
481,0.4125
663,0.4125
771,0.415
752,0.4175
117,0.4175
988,0.425
7211,0.425
70,0.425
241,0.4275
320,0.4325
858,0.4375
546,0.4375
501,0.4375
863,0.4375
310,0.4375
50,0.4375
994,0.45
895,0.45
761,0.45
240,0.45
490,0.45
993,0.4625
661,0.4625
748,0.47
763,0.47
833,0.47
952,0.47
951,0.47
953,0.47
5091,0.47
94,0.47
96,0.47
114,0.47
212,0.47
317,0.47
321,0.47
334,0.47
331,0.47
333,0.47
652,0.47
681,0.47
682,0.47
950,0.47
680,0.47
684,0.47
773,0.475
926,0.475
766,0.475
62,0.475
836,0.475
843,0.475
847,0.475
869,0.475
135,0.475
505,0.475
360,0.475
729,0.475
506,0.475
972,0.48
491,0.48
591,0.48
611,0.48
341,0.49
820,0.5
821,0.5
827,0.5
837,0.5
928,0.5
973,0.5
975,0.5
72,0.5
103,0.5
124,0.5
125,0.5
128,0.5
371,0.5
372,0.5
407,0.5
421,0.5
711,0.5
712,0.5
920,0.5
760,0.5
809,0.5
992,0.5
550,0.5
8651,0.5
877,0.5
603,0.5
604,0.5
605,0.5
844,0.5
851,0.5
860,0.5
864,0.5
866,0.5
883,0.5
885,0.5
896,0.5
908,0.5
913,0.5
915,0.5
220,0.5
511,0.5
223,0.5
230,0.5
720,0.5
411,0.5
420,0.5
412,0.5
657,0.5
762,0.505
313,0.5075
323,0.525
520,0.525
772,0.5275
503,0.5375
808,0.55
600,0.55
221,0.5625
701,0.5625
758,0.5625
811,0.5625
886,0.5625
509,0.5625
804,0.5875
974,0.5875
314,0.5875
547,0.5875
882,0.5875
919,0.5875
504,0.5875
108,0.5875
841,0.6
330,0.6
138,0.6
304,0.6
59,0.6
118,0.6125
200,0.6125
832,0.625
971,0.625
109,0.625
816,0.625
140,0.625
859,0.625
825,0.625
8514,0.625
855,0.625
970,0.625
514,0.625
523,0.625
232,0.625
222,0.625
540,0.625
802,0.64
461,0.64
463,0.64
460,0.64
500,0.65
508,0.65
400,0.65
996,0.6725
5093,0.6875
888,0.6875
800,0.6925
81,0.6975
502,0.7
507,0.7
361,0.7075
817,0.7125
823,0.7125
462,0.7125
544,0.7125
5491,0.7125
828,0.7125
111,0.7125
14,0.725
876,0.725
911,0.7375
561,0.7475
806,0.75
810,0.75
824,0.75
839,0.75
912,0.75
940,0.75
105,0.75
110,0.75
126,0.75
132,0.75
201,0.75
402,0.75
403,0.75
410,0.75
423,0.75
422,0.75
631,0.75
141,0.75
142,0.75
857,0.75
845,0.75
852,0.75
856,0.75
868,0.75
510,0.75
897,0.75
300,0.75
303,0.75
991,0.75
404,0.75
471,0.7625
664,0.775
901,0.7775
512,0.7875
116,0.7925
874,0.8
452,0.805
641,0.805
887,0.8125
134,0.8125
100,0.8125
774,0.8275
122,0.83
818,0.8325
130,0.835
136,0.845
123,0.85
61,0.85
58,0.8625
902,0.8675
997,0.8675
51,0.8675
345,0.8675
835,0.875
838,0.875
842,0.875
127,0.875
131,0.875
5092,0.875
770,0.875
139,0.875
803,0.875
8511,0.875
522,0.875
409,0.875
55,0.875
732,0.875
755,0.9
756,0.9
549,0.9
53,0.9
52,0.9
54,0.9
56,0.9
834,0.9125
68,0.9125
67,0.9125
884,0.925
408,0.925
137,0.925
8513,0.925
113,0.93
121,0.9375
757,0.95
8512,0.95
829,0.95
846,0.95
870,0.95
363,0.95
840,0.975
890,0.975
982,0.9875
606,0.9875
814,0.9925
826,0.9925
65,0.9925
66,0.9925
102,0.9925
106,0.9925
133,0.9925
143,0.9925
475,0.9925
552,0.995
801,1
805,1
807,1
812,1
815,1
819,1
931,1
63,1
64,1
69,1
101,1
104,1
867,1
60,1
990,1
57,1
